genome,group,farm
MAG0001,resilient,A
MAG0052,resilient,A
MAG0119,resilient,A
MAG0288,resilient,A
MAG0622,resilient,A
MAG0743,resilient,A
MAG0882,resilient,A
MAG1019,resilient,A
MAG1020,resilient,A
MAG1028,resilient,A
MAG1114,susceptible,A
MAG0059,resilient,B
MAG0301,resilient,B
MAG0373,susceptible,B
MAG0439,resilient,B
MAG0461,resilient,B
MAG0611,resilient,B
MAG0626,susceptible,B
MAG0677,resilient,B
MAG0851,resilient,B
MAG0877,resilient,B
MAG0880,resilient,B
MAG0905,resilient,B
MAG0959,resilient,B
MAG0983,resilient,B
MAG1090,resilient,B
